Brand,Model,Type,Gender,Size,Color,Material,Price
7,51,1,0,1,1,18,60.0
2,190,1,1,9,31,0,110.0
6,201,1,0,9,62,22,65.0
9,78,11,1,8,35,0,50.0
4,95,10,0,2,6,17,165.0
1,135,10,1,11,56,17,90.0
3,170,1,0,12,74,10,60.0
8,141,10,1,10,10,14,55.0
5,14,1,0,2,67,10,90.0
0,161,10,1,10,56,20,130.0
7,232,10,0,11,13,14,120.0
2,45,1,1,7,1,0,85.0
6,59,0,0,0,67,10,130.0
9,193,11,1,11,10,23,65.0
4,4,1,0,1,39,25,80.0
1,135,10,1,8,1,14,70.0
3,159,5,0,2,39,13,75.0
8,157,10,1,8,56,14,90.0
5,39,1,0,12,67,10,100.0
0,206,1,1,8,10,10,85.0
7,66,10,0,0,1,14,70.0
2,150,1,1,10,67,0,65.0
6,43,10,0,12,12,14,140.0
9,194,11,1,6,26,0,50.0
4,90,10,0,2,13,14,120.0
1,137,13,1,12,39,14,70.0
3,80,5,0,0,67,10,70.0
8,77,15,1,10,1,14,65.0
5,153,0,0,2,13,14,150.0
5,189,10,1,12,10,7,160.0
0,161,7,0,3,39,20,140.0
7,35,1,1,10,80,13,90.0
2,150,1,0,11,54,0,70.0
6,43,10,0,0,1,14,100.0
9,193,11,1,8,10,23,65.0
4,2,1,0,0,35,24,90.0
1,113,10,1,9,13,14,120.0
3,210,5,0,11,72,10,85.0
8,157,10,1,7,43,14,105.0
5,39,1,0,10,35,10,100.0
0,218,10,1,8,10,20,180.0
7,51,1,0,3,19,18,60.0
2,171,1,1,12,71,10,75.0
6,59,0,0,12,1,13,130.0
9,79,11,1,6,10,0,65.0
4,95,10,0,0,6,14,165.0
1,133,10,1,11,41,14,180.0
3,196,0,0,1,67,10,75.0
8,221,1,1,10,10,28,70.0
5,14,0,0,0,67,10,100.0
0,161,7,1,9,39,20,140.0
7,165,15,0,12,1,8,130.0
2,150,1,1,6,52,0,65.0
6,43,10,0,2,1,14,80.0
9,193,11,1,8,10,2,70.0
4,2,7,0,0,0,25,100.0
1,118,10,1,11,56,14,75.0
3,158,16,0,0,67,28,60.0
8,74,10,1,9,1,14,70.0
5,84,10,0,0,10,7,150.0
0,216,10,1,7,13,20,180.0
7,82,10,0,1,39,14,100.0
2,46,1,1,11,56,0,85.0
6,59,0,0,11,67,10,130.0
9,78,11,1,10,1,0,50.0
4,91,10,0,4,13,14,120.0
1,120,10,1,10,1,14,160.0
3,210,5,0,2,1,10,75.0
8,77,16,1,7,39,14,60.0
5,39,1,0,12,78,10,100.0
0,206,1,1,8,68,10,80.0
7,230,10,0,3,68,14,120.0
2,150,1,0,10,73,0,70.0
6,200,1,1,10,56,22,65.0
9,193,11,0,0,10,0,70.0
4,93,10,1,11,44,14,165.0
1,120,10,0,1,5,14,160.0
3,210,5,1,7,31,28,75.0
8,63,16,0,12,68,10,70.0
5,14,1,1,10,76,10,90.0
0,161,1,0,11,10,20,130.0
7,53,1,0,2,68,10,75.0
2,45,1,1,10,31,0,85.0
6,43,10,0,10,2,14,120.0
9,78,11,1,7,58,0,50.0
4,101,10,0,11,15,14,100.0
1,117,10,1,10,58,14,120.0
3,159,5,0,0,68,28,75.0
5,14,1,0,2,67,10,90.0
0,161,7,1,9,56,20,140.0
7,165,15,0,12,39,8,130.0
2,27,1,1,7,1,0,60.0
6,43,10,0,1,13,14,90.0
9,193,11,1,5,62,0,70.0
4,2,7,0,10,35,25,100.0
1,129,10,1,8,39,14,120.0
3,159,5,0,11,67,10,70.0
8,155,16,1,11,1,14,75.0
5,188,10,0,4,1,7,160.0
0,10,12,1,5,1,28,35.0
7,51,1,0,0,39,18,65.0
2,45,1,1,9,31,0,85.0
6,178,7,0,10,12,28,110.0
9,78,11,1,7,56,0,55.0
4,6,10,0,12,39,25,175.0
1,113,10,1,11,13,14,120.0
3,64,5,0,2,67,10,65.0
8,77,15,1,10,1,8,70.0
5,23,10,0,1,13,14,120.0
5,15,0,0,2,67,10,90.0
0,228,5,0,11,81,20,220.0
7,166,15,0,0,48,33,130.0
2,151,1,1,8,56,0,65.0
6,59,0,0,1,10,12,130.0
9,193,11,1,11,24,0,70.0
4,92,13,0,12,46,30,135.0
1,130,10,1,9,56,14,120.0
3,64,5,0,2,1,10,65.0
8,32,16,1,6,52,14,65.0
5,23,10,0,4,13,14,120.0
0,161,1,1,10,56,20,130.0
7,83,10,0,11,1,14,100.0
2,46,1,0,4,35,0,85.0
6,43,10,1,11,67,14,90.0
9,78,11,0,10,1,0,50.0
4,104,10,1,8,55,14,130.0
1,117,10,0,2,39,14,120.0
3,159,5,1,7,67,13,65.0
8,109,10,0,9,1,14,60.0
5,14,0,0,2,67,10,90.0
0,161,10,1,10,56,8,140.0
7,233,13,0,12,1,17,110.0
2,150,1,1,7,13,0,65.0
6,43,10,0,0,39,14,90.0
9,192,11,1,6,10,1,70.0
4,104,10,1,7,75,14,110.0
1,119,10,0,9,39,14,85.0
3,159,5,1,8,75,13,65.0
8,155,10,0,2,1,14,85.0
5,18,10,0,4,1,17,150.0
0,206,1,1,12,68,10,85.0
7,163,15,0,0,13,28,130.0
2,171,1,0,12,71,10,80.0
6,179,7,1,10,56,14,110.0
9,194,1,0,1,10,0,50.0
4,95,10,0,4,6,14,165.0
1,112,10,1,6,13,14,90.0
3,207,1,0,2,67,10,65.0
8,144,16,1,10,1,14,60.0
5,39,1,0,10,35,10,100.0
5,14,1,0,12,67,10,90.0
0,161,7,1,7,8,8,140.0
7,165,4,0,0,1,14,130.0
2,45,1,1,10,47,0,85.0
6,41,10,0,10,39,14,130.0
9,192,11,0,12,10,0,70.0
4,3,1,1,7,56,22,80.0
1,131,10,0,2,1,14,120.0
3,159,5,1,9,67,13,65.0
8,155,10,1,8,1,14,90.0
5,86,10,0,0,13,8,130.0
0,13,10,1,6,1,14,120.0
7,232,10,0,11,13,14,120.0
2,190,1,1,10,67,0,110.0
6,181,1,0,2,71,10,80.0
9,78,11,1,7,1,0,55.0
4,6,10,0,1,39,25,175.0
1,120,10,1,11,1,14,160.0
3,64,5,0,11,67,10,70.0
8,62,16,1,9,67,10,65.0
5,18,10,0,11,39,28,150.0
5,16,1,0,12,67,10,90.0
0,161,7,1,8,58,20,130.0
7,232,10,0,2,1,14,120.0
2,46,1,0,10,31,0,85.0
6,43,10,1,9,1,14,90.0
9,193,11,0,0,10,23,70.0
4,2,7,1,6,71,25,90.0
1,134,10,0,0,13,14,90.0
3,170,5,1,8,73,13,65.0
8,144,16,0,11,39,14,65.0
5,188,10,1,9,1,7,160.0
0,206,1,0,10,68,10,85.0
7,163,4,1,7,39,14,130.0
2,190,1,1,11,67,0,100.0
6,172,7,0,0,67,13,120.0
9,78,11,1,6,10,0,50.0
4,102,10,0,12,16,14,100.0
1,124,10,1,10,68,14,180.0
3,211,5,0,12,74,28,60.0
8,202,16,1,8,8,14,60.0
5,16,1,0,11,67,10,90.0
0,161,7,1,7,56,20,140.0
7,230,10,0,2,1,14,120.0
2,45,1,0,9,39,0,85.0
6,59,0,0,1,67,10,130.0
9,192,11,1,7,10,23,70.0
4,5,10,0,0,39,25,175.0
1,133,10,1,9,1,14,150.0
3,170,1,0,11,73,10,60.0
8,157,10,0,10,39,14,90.0
5,38,1,1,8,60,10,100.0
0,206,1,0,0,68,10,80.0
7,51,1,1,9,10,19,65.0
2,30,0,0,2,1,0,120.0
6,43,10,1,6,13,14,120.0
9,78,11,0,12,60,0,50.0
4,95,10,1,8,39,14,165.0
1,113,10,0,12,1,14,120.0
3,64,1,1,10,67,10,70.0
8,77,16,0,4,52,14,65.0
5,189,10,1,11,59,7,160.0
5,14,0,0,2,67,10,90.0
0,228,5,1,10,31,20,220.0
7,230,10,0,4,1,14,120.0
2,45,1,1,7,33,0,85.0
6,43,10,0,10,1,14,80.0
9,193,11,1,11,10,0,70.0
4,104,10,0,1,13,14,130.0
1,134,10,1,7,1,14,80.0
3,208,5,0,12,73,13,65.0
8,62,16,1,6,10,28,65.0
5,189,10,0,11,1,7,160.0
0,162,1,1,6,56,20,130.0
7,54,1,0,2,35,10,80.0
2,150,1,1,8,67,0,65.0
6,59,0,0,0,1,10,130.0
9,194,1,1,10,1,0,50.0
4,92,14,0,0,42,30,135.0
1,113,10,1,11,8,14,120.0
3,183,5,0,2,67,28,65.0
8,214,16,1,8,54,14,60.0
5,186,10,1,12,43,14,160.0
0,217,10,0,11,67,20,180.0
7,165,15,1,10,1,5,130.0
2,150,1,0,2,67,0,75.0
6,43,10,0,0,40,14,90.0
9,193,11,1,7,10,2,65.0
4,2,7,0,10,16,26,90.0
1,117,10,1,8,56,14,120.0
3,210,5,0,11,37,13,80.0
8,146,16,1,6,1,14,54.99
5,39,1,0,0,68,10,100.0
0,161,7,1,5,58,20,130.0
7,154,17,0,12,3,10,200.0
2,190,1,1,8,56,0,110.0
6,226,7,0,2,10,24,90.0
9,194,1,1,9,11,0,50.0
4,87,10,0,4,5,14,150.0
1,133,10,1,11,10,14,150.0
3,196,5,0,12,73,13,75.0
5,20,10,0,10,67,10,120.0
0,161,7,1,7,8,20,130.0
7,164,4,0,11,39,14,130.0
2,30,0,1,12,59,0,110.0
6,200,1,0,2,1,22,65.0
9,193,11,1,8,79,22,65.0
4,3,1,0,0,39,25,80.0
1,133,10,1,10,1,14,150.0
3,170,5,0,1,67,10,65.0
8,138,10,1,5,56,14,60.0
5,14,1,0,12,39,10,90.0
0,227,7,1,6,31,20,220.0
7,154,17,0,1,1,10,200.0
2,171,1,1,10,71,10,85.0
6,180,7,0,10,60,28,110.0
9,194,11,1,9,10,0,50.0
4,102,10,0,11,60,14,100.0
1,121,10,1,8,75,14,160.0
3,70,5,0,12,73,28,60.0
8,72,16,1,8,1,14,70.0
5,15,0,0,12,67,10,100.0
0,161,10,1,7,39,20,140.0
7,36,1,1,9,58,25,100.0
2,28,1,0,10,1,10,65.0
6,43,10,0,0,13,14,90.0
9,192,11,1,6,10,23,70.0
4,89,10,0,3,60,14,130.0
1,117,10,1,12,59,14,120.0
3,159,5,0,12,69,13,75.0
8,205,16,1,9,8,14,60.0
5,22,10,0,3,1,13,170.0
0,229,1,1,8,75,17,150.0
7,55,1,0,0,71,10,80.0
2,46,1,1,5,60,0,85.0
6,40,7,0,10,10,10,80.0
9,194,11,1,7,10,0,50.0
4,94,10,0,11,39,14,165.0
1,113,10,1,9,13,14,120.0
3,170,5,0,2,67,10,60.0
5,14,0,0,2,67,10,90.0
0,161,10,1,9,56,20,140.0
7,230,10,0,1,1,14,120.0
2,150,1,1,8,67,0,65.0
6,59,0,0,1,1,10,130.0
9,193,11,1,11,10,2,70.0
4,95,10,0,12,13,14,165.0
1,123,10,1,8,1,14,120.0
3,159,5,0,11,39,28,70.0
8,62,7,1,10,67,13,65.0
5,21,10,0,2,39,28,170.0
0,206,1,1,7,68,10,80.0
7,65,1,0,12,69,28,90.0
2,29,1,1,6,1,0,65.0
6,181,0,0,2,67,10,80.0
9,78,11,1,10,60,0,55.0
4,104,10,0,0,1,14,130.0
1,134,10,1,9,8,14,80.0
3,170,1,0,10,76,10,65.0
8,73,15,1,8,39,8,65.0
5,188,10,0,0,13,7,160.0
5,15,1,0,11,68,10,90.0
0,228,5,1,10,32,21,220.0
7,166,15,0,1,1,17,130.0
2,150,1,1,7,67,0,65.0
6,43,10,0,2,39,17,100.0
9,192,11,1,12,59,2,70.0
4,104,10,0,12,10,17,130.0
1,133,10,1,5,56,17,170.0
3,159,5,0,10,62,29,75.0
8,156,10,1,7,52,17,110.0
5,20,10,0,9,10,11,120.0
0,161,5,1,7,39,9,140.0
7,167,15,0,2,40,17,130.0
2,25,1,0,11,52,0,55.0
6,107,7,1,11,79,31,80.0
9,78,11,0,12,10,0,50.0
4,97,10,1,7,72,14,120.0
1,120,10,0,4,1,17,160.0
3,211,5,1,9,56,29,65.0
5,14,1,0,2,67,10,90.0
0,228,5,1,7,31,20,220.0
7,165,3,0,0,10,14,130.0
2,25,1,1,10,60,0,60.0
6,42,10,0,10,39,14,100.0
9,193,11,0,11,10,23,70.0
4,2,1,1,7,38,26,90.0
1,117,10,0,11,1,14,120.0
3,159,5,1,8,56,10,75.0
8,155,16,0,2,39,14,90.0
5,189,10,1,9,13,7,160.0
0,215,10,0,12,67,20,180.0
7,35,1,1,11,59,28,90.0
2,150,1,0,10,67,0,70.0
6,177,5,1,8,56,13,110.0
9,194,11,0,12,25,0,50.0
4,104,10,1,10,41,14,130.0
1,133,10,0,0,1,14,160.0
3,64,5,1,5,68,13,70.0
8,144,16,0,0,1,14,65.0
5,18,10,1,8,35,14,150.0
5,186,10,0,12,14,14,160.0
0,161,7,1,8,39,20,130.0
7,163,15,0,0,1,3,130.0
2,30,0,1,10,67,10,100.0
6,61,0,0,9,61,10,110.0
9,193,11,1,8,10,23,70.0
4,2,1,0,12,35,25,90.0
1,133,10,1,9,56,17,160.0
3,159,5,0,0,76,10,75.0
8,62,16,1,8,1,13,60.0
5,39,1,0,0,68,10,100.0
0,206,1,1,10,68,10,80.0
7,51,1,0,2,1,19,60.0
2,45,1,1,8,33,0,85.0
6,182,0,0,12,67,10,90.0
9,78,11,0,10,60,0,55.0
4,104,10,1,7,59,14,130.0
1,113,10,0,12,39,14,120.0
3,210,6,1,9,0,13,85.0
8,202,15,0,2,1,14,60.0
5,14,0,0,2,67,10,90.0
0,228,7,0,0,31,20,220.0
7,230,10,1,11,56,14,120.0
2,45,1,0,11,1,0,85.0
6,59,0,0,12,1,10,130.0
9,193,11,1,7,10,23,70.0
4,3,1,0,9,39,25,80.0
1,132,10,1,8,39,14,170.0
3,159,5,0,2,76,10,75.0
8,75,16,1,9,39,14,60.0
5,189,10,0,12,10,7,160.0
0,219,10,1,6,67,20,180.0
7,165,15,0,0,13,14,130.0
2,150,1,1,7,67,0,65.0
6,43,10,0,1,39,14,120.0
9,194,11,0,10,10,0,50.0
4,103,10,1,8,56,14,110.0
1,120,10,0,3,1,14,160.0
3,170,1,1,10,67,10,60.0
8,140,10,0,11,1,14,55.0
5,234,10,1,11,13,14,160.0
5,39,0,0,2,68,10,100.0
0,228,7,1,6,29,20,220.0
7,165,3,0,12,10,9,130.0
2,150,1,1,9,56,0,65.0
6,41,10,0,0,45,17,120.0
9,193,11,1,7,10,23,70.0
4,3,1,0,4,53,25,85.0
1,134,10,1,8,3,17,90.0
3,170,1,0,2,74,10,70.0
8,72,16,1,11,43,8,70.0
5,23,10,0,0,13,17,120.0
0,161,7,1,10,8,8,140.0
7,83,10,0,10,68,9,100.0
2,26,11,1,11,1,0,85.0
6,59,0,0,11,12,13,130.0
9,78,11,1,9,49,0,55.0
4,89,10,0,12,39,14,130.0
1,121,10,1,11,1,14,160.0
3,211,10,0,0,10,17,65.0
5,186,10,0,12,15,14,160.0
0,161,7,1,9,68,20,140.0
7,163,3,0,0,1,31,130.0
2,150,1,1,8,67,0,65.0
6,43,10,0,2,10,14,120.0
9,78,11,1,8,56,0,50.0
4,2,1,0,9,41,25,100.0
1,130,10,1,11,57,17,120.0
3,64,5,0,12,76,13,70.0
8,156,10,1,6,43,14,90.0
5,238,10,0,0,10,14,250.0
0,228,5,1,8,32,20,220.0
7,35,1,0,3,10,27,90.0
2,45,1,1,6,65,0,85.0
6,105,7,0,0,18,30,80.0
9,193,11,1,9,79,2,65.0
4,93,10,0,12,10,14,165.0
1,121,10,1,7,75,14,160.0
3,224,5,0,10,78,13,65.0
5,15,0,0,2,67,10,90.0
0,161,7,1,9,56,20,130.0
7,166,15,0,1,39,3,130.0
2,152,1,1,7,67,0,65.0
6,59,0,0,4,10,13,130.0
9,192,11,1,8,56,23,65.0
4,2,7,0,12,35,25,90.0
1,125,7,1,11,6,12,110.0
3,170,5,0,12,67,10,60.0
8,156,10,1,7,1,14,100.0
5,23,10,0,0,13,14,120.0
0,149,0,1,10,39,32,130.0
7,67,10,0,11,55,30,120.0
2,47,1,0,3,1,0,85.0
6,176,7,1,6,64,17,120.0
9,78,11,0,10,60,0,50.0
4,95,10,1,9,1,17,165.0
1,133,10,0,1,9,17,170.0
3,159,5,1,7,56,28,75.0
8,63,16,0,4,67,29,65.0
5,39,11,0,11,10,10,100.0
0,219,10,1,10,39,20,180.0
7,51,1,0,4,52,18,65.0
2,45,1,1,6,56,0,85.0
6,43,10,0,0,1,14,90.0
9,193,11,1,8,60,2,70.0
4,93,10,0,12,1,14,160.0
1,129,10,1,8,13,14,120.0
3,64,5,0,2,67,10,70.0
8,195,16,1,9,39,14,70.0
5,18,10,0,1,35,14,150.0
0,11,12,1,5,56,28,25.0
7,165,15,0,2,60,14,130.0
2,150,1,1,8,67,0,75.0
6,201,1,0,9,1,22,65.0
9,194,11,1,11,25,0,50.0
4,104,10,0,10,35,14,130.0
1,136,13,1,6,39,14,75.0
3,185,5,0,4,1,28,65.0
8,155,10,1,9,52,14,85.0
5,188,10,0,2,13,7,160.0
5,16,1,0,4,67,10,90.0
0,227,5,1,9,32,20,220.0
7,163,15,0,2,7,4,130.0
2,150,1,1,8,34,0,65.0
6,43,10,0,1,39,14,100.0
9,193,11,1,12,10,2,70.0
4,8,1,0,12,6,25,89.99
1,116,10,1,9,56,14,120.0
3,159,5,0,10,74,29,75.0
8,144,16,1,7,1,14,60.0
5,37,1,0,0,1,10,85.0
0,218,10,1,7,39,20,180.0
7,35,1,0,4,68,28,90.0
2,171,0,1,10,67,10,75.0
6,200,1,0,12,10,22,65.0
9,78,11,1,9,66,0,50.0
4,1,8,0,9,55,14,110.0
1,120,10,1,7,39,14,160.0
3,170,1,0,1,1,10,60.0
8,139,10,1,12,43,14,60.0
5,14,1,0,1,67,10,90.0
0,161,7,1,10,43,20,140.0
7,166,15,0,2,1,8,130.0
2,45,1,1,7,56,0,85.0
6,40,5,1,6,68,10,80.0
9,193,11,0,12,19,23,70.0
4,95,10,1,8,58,14,165.0
1,117,10,0,12,1,14,120.0
3,209,6,1,12,35,24,70.0
8,141,10,0,10,1,14,70.0
5,23,10,1,6,17,14,120.0
0,206,1,0,2,68,10,80.0
7,51,1,1,10,59,18,65.0
2,150,1,0,11,67,0,70.0
6,201,1,1,7,1,22,65.0
9,78,11,0,1,10,0,55.0
4,3,1,1,11,45,25,80.0
1,115,10,0,0,13,14,70.0
3,211,10,1,7,8,30,70.0
8,81,15,0,10,42,8,70.0
5,16,1,0,12,67,10,90.0
0,228,7,0,2,32,20,220.0
7,34,9,1,8,4,25,90.0
2,150,1,0,9,52,0,65.0
6,43,10,1,9,45,14,80.0
9,78,11,0,0,10,0,55.0
4,2,9,0,4,42,25,100.0
1,120,10,1,12,17,14,160.0
3,64,5,0,11,1,13,65.0
8,143,10,1,8,8,14,90.0
5,186,10,0,2,1,17,160.0
0,161,7,1,9,6,20,130.0
7,56,1,0,12,72,10,65.0
2,45,11,1,6,67,0,85.0
6,57,9,0,9,60,22,80.0
9,193,11,1,8,58,0,65.0
4,0,10,0,1,39,14,150.0
1,129,10,1,8,10,14,140.0
3,170,1,0,0,74,10,60.0
8,202,16,1,11,6,14,60.0
5,14,0,0,2,67,10,90.0
0,228,7,0,11,50,20,220.0
7,154,17,0,1,1,28,150.0
2,150,1,1,8,67,0,75.0
6,43,10,0,0,39,14,100.0
9,194,11,1,10,26,0,50.0
4,2,1,0,11,53,26,100.0
1,133,10,1,10,56,14,150.0
3,159,5,0,2,73,28,75.0
8,139,10,1,8,8,14,65.0
5,234,10,0,0,1,14,160.0
0,213,10,1,10,39,20,180.0
7,163,4,0,12,40,14,130.0
2,171,11,1,5,67,10,75.0
6,59,0,0,3,68,10,130.0
9,193,11,0,10,10,23,70.0
4,3,1,1,8,22,24,80.0
1,117,10,0,3,9,14,120.0
3,170,1,1,10,73,10,65.0
8,144,16,0,11,23,14,65.0
5,14,1,0,10,67,10,90.0
0,227,7,0,0,39,20,220.0
7,163,4,1,7,1,14,130.0
2,25,1,0,11,60,0,55.0
6,60,0,0,2,1,14,120.0
9,193,11,1,8,60,22,65.0
4,2,7,0,11,35,25,90.0
1,124,10,1,10,67,14,180.0
3,159,5,0,0,13,28,75.0
8,144,16,1,9,39,14,60.0
5,235,10,0,0,1,14,120.0
0,161,7,1,8,8,20,140.0
7,35,1,0,2,39,28,90.0
2,171,0,1,10,67,10,85.0
6,175,7,0,11,1,10,110.0
9,78,11,1,6,1,0,50.0
4,104,10,1,12,13,14,130.0
1,133,10,0,11,6,14,180.0
3,223,5,1,7,75,10,75.0
8,197,15,0,11,1,10,65.0
5,191,11,0,12,55,10,100.0
5,14,1,0,2,68,10,90.0
0,228,5,1,10,27,20,220.0
7,232,10,0,12,10,17,120.0
2,150,1,1,8,10,0,65.0
6,43,10,0,0,39,14,100.0
9,193,11,1,6,19,23,70.0
4,4,1,0,12,12,25,80.0
1,123,10,1,10,59,17,120.0
3,210,5,0,1,3,12,75.0
8,220,7,1,8,58,28,70.0
5,18,10,0,3,10,17,150.0
0,213,10,1,9,45,20,180.0
7,49,1,0,4,54,10,75.0
2,45,1,1,11,60,0,85.0
6,200,1,0,12,62,22,65.0
9,78,11,1,7,10,0,55.0
4,104,10,0,1,20,14,100.0
1,133,10,1,8,72,17,180.0
3,199,5,0,2,77,28,70.0
5,14,1,0,4,67,10,90.0
0,161,7,1,7,56,20,140.0
7,165,15,0,2,1,3,130.0
2,150,1,0,11,67,0,65.0
6,59,0,0,1,1,10,130.0
9,193,11,1,9,10,23,65.0
4,2,7,0,12,39,25,90.0
1,133,10,1,10,8,17,160.0
3,159,5,0,0,68,13,75.0
8,156,10,1,7,43,14,90.0
5,236,10,0,1,13,14,180.0
0,149,0,1,10,59,28,130.0
7,51,1,0,4,52,18,60.0
2,45,1,1,7,47,0,85.0
6,201,1,0,10,10,22,65.0
9,78,11,0,12,60,0,50.0
4,99,10,1,12,1,14,90.0
1,118,10,0,11,40,14,75.0
3,196,5,1,7,67,13,70.0
8,63,16,0,1,1,10,60.0
5,14,1,0,2,67,10,90.0
0,161,7,1,9,1,20,140.0
7,163,15,0,1,60,14,130.0
2,150,1,1,8,67,0,65.0
6,43,10,0,10,1,14,90.0
9,193,11,1,11,59,23,65.0
4,95,10,1,11,39,14,160.0
1,119,10,0,12,13,14,85.0
3,208,5,1,8,67,28,65.0
8,202,16,0,4,1,14,65.0
5,76,10,1,8,39,7,150.0
0,216,10,0,2,1,20,180.0
7,154,17,0,11,68,28,200.0
2,30,0,1,7,35,10,100.0
6,44,7,0,0,39,10,90.0
9,194,1,1,6,24,0,50.0
4,3,1,0,4,22,25,80.0
1,133,10,1,10,56,14,150.0
5,21,10,0,11,39,13,170.0
0,161,7,1,8,56,20,140.0
7,165,15,0,2,1,14,130.0
2,150,1,0,9,67,0,65.0
6,42,10,1,10,1,14,100.0
9,192,11,0,12,60,23,70.0
4,2,7,1,6,39,25,100.0
1,133,10,0,1,1,14,180.0
3,170,1,1,11,67,10,70.0
8,155,10,0,0,13,14,90.0
5,188,10,1,9,13,7,160.0
